date,panel,sku,msku,quantity,warehouse
2025-01-31,unknown,78945615,CSTE_0111_HD_Rug_CircleFurmat_White,1,TLCQ
2025-01-31,unknown,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,TLCQ
2025-01-31,unknown,32546987,CSTE_0020_MB_HP_Black,1,TLCQ
2025-02-01,unknown,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,TLCQ
2025-02-01,unknown,586379476_16,CSTE_0148_SG_ButterFly_RedGreen,1,BOM7
2025-02-01,unknown,586379476_16,CSTE_0148_SG_ButterFly_RedGreen,1,CCU1
2025-02-01,unknown,SG_FireGlass_Green,CSTE_0157_SG_FireGlass_Green,1,TLCQ
2025-02-01,unknown,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,2,TLCQ
2025-02-01,unknown,78945615,CSTE_0111_HD_Rug_CircleFurmat_White,1,BLR7
2025-02-01,unknown,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,TLCQ
