sku,msku,panels,Status,Status.1,image
bFw2h2eG,bFw2h2eG,CSTE MEESHO,Active,stock update,
bGLvc2yw,bGLvc2yw,CSTE MEESHO,,,
BigPillow_Cooky,BigPillow_Cooky_fba,CSTE AMAZON,Inactive,Deleted,
black red 0174,black red 0174,CSTE MEESHO,Inactive,combo block,
Black_cateys,Black_cateys_fba,CSTE AMAZON,Inactive,Deleted,
Black_gold_arm_eyeglass_fba,Black_gold_arm_eyeglass,CSTE AMAZON,Inactive,Deleted,
black_sheeld_bigframe_glasses,black_sheeld_bigframe_glasses_fba,CSTE AMAZON,Inactive,Deleted,
Black_spikes_glasses_fba,Black_spikes_glasses,CSTE AMAZON,Inactive,Deleted,
Black_star_glass,Blackstar_Glass_fba1,CSTE AMAZON,Inactive,Deleted,
tHUG NEW,Blue_thug,CSTE AMAZON,Inactive,Deleted,
CB-2JRA-31IN,Blue_thug,CSTE AMAZON,Inactive,Deleted,
bOHgNJvY,bOHgNJvY,CSTE MEESHO,,,
bOx5YnOK,bOx5YnOK,CSTE MEESHO,,,
OCTOPUS-12,BQ-8DSQ-FIDM,CSTE AMAZON,Inactive,Deleted,
OCTOPUS-1,BR-KG2Y-N041,CSTE AMAZON,Inactive,Deleted,
musicbox_to_my_brave_wife,bravewife_fba,CSTE AMAZON,Inactive,Deleted,
BrIM6I5u,BrIM6I5u,CSTE MEESHO,,,
beatlesmusicbox,brown_beatles_FBA,CSTE AMAZON,Inactive,Deleted,
Bts Diary,Bts Diary,CSTE MEESHO,,,
32541869,BTS Pillow Combo Tata ,CSTE MEESHO,,,
32805694,BTS Pillow Combo Tata ,CSTE MEESHO,,,
BTS_keychainBT21koya,BTS_Keychain_fba,CSTE AMAZON,Inactive,Deleted,
Keychain_1,BTS_keychainBT21cooky,CSTE AMAZON,Inactive,Deleted,
ST-BTS-koya-rj-shooky-cooky,Bts_Koya_RJ_Shooky_Cooky,CSTE AMAZON,Inactive,Deleted,
ST-BTS-koya-rj-shooky-cooky-FBA,Bts_Koya_RJ_Shooky_Cooky,CSTE AMAZON,Active,Combo,#REF!
Bts_Softtoy_Chimmy_fba,BTS_softtoy_Chimmy,CSTE AMAZON,Inactive,Deleted,
Bts_Softtoy_Tata_fba,BTS_softtoy_Tata,CSTE AMAZON,Inactive,Deleted,
Bycf5UO7,Bycf5UO7,CSTE MEESHO,Active,stockupdate,
c8BLioor,c8BLioor,Rudrav Meesho,Inactive,block,
"CAAJU Animal Stuffed Soft Toy (Dark Blue, Orange)","CAAJU Animal Stuffed Soft Toy (Dark Blue, Orange)",CSTE MEESHO,Inactive,Paused,
CAAJU KOREAN BANDAIDS PACK,CAAJU KOREAN BANDAIDS PACK,CSTE MEESHO,Inactive,Paused,
hbd_brown_2_fba_,caaju wooden music box,CSTE AMAZON,Inactive,Deleted,
Happy_bdy_musicbox,caaju wooden music box,CSTE AMAZON,Inactive,Deleted,
CB_KOREA_EDITION_CREATIVE_ZERO_WALLET_MUSTACHE_D2,CB_KOREA_EDITION_CREATIVE_ZERO_WALLET_MUSTACHE_D2,CSTE MEESHO,Inactive,Paused,
cB-S44Cn,cB-S44Cn,CSTE MEESHO,,,
circle brown,circle brown,CSTE MEESHO,Active,,#REF!
MUSICBOX_WIFE,cj-sunshine-wife,CSTE AMAZON,Inactive,Deleted,
CLASSIC-CAR-01,CLASSIC-CAR-01,Rudrav Meesho,Inactive,pause,
CMB_FOX_DESIGN_ORANGE,CMB_FOX_DESIGN_ORANGE,CSTE MEESHO,Active,Combo,
CMB_GREEN_MUG,CMB_GREEN_MUG,CSTE MEESHO,Active,Combo,
CMB_GUN_DESIGN,CMB_GUN_DESIGN,CSTE MEESHO,Active,Combo,
CMB_UNICORN_CUP_WITH_SPOON,CMB_UNICORN_CUP_WITH_SPOON,CSTE MEESHO,Active,Combo,
CMB_UNICORN_TUMBLER_PINK,CMB_UNICORN_TUMBLER_PINK,CSTE MEESHO,Active,Combo,
CMB_UNICORN_TUMBLER_PURPLE,CMB_UNICORN_TUMBLER_PURPLE,CSTE MEESHO,Active,Combo,
CMB_UNICORN_WHITE,CMB_UNICORN_WHITE,CSTE MEESHO,Active,Combo,
combo 12,combo 12,CSTE MEESHO,In Progress,,
combo 18`,combo 18`,CSTE MEESHO,In Progress,,
combo doll,combo doll,Rudrav Meesho,Inactive,"Paused, Combo",
Combo_Spin_wheel_Heart_MB_FBA,Combo_Spin_wheel_Heart_MB,CSTE AMAZON,Inactive,Deleted,
combo1,combo1,CSTE MEESHO,Inactive,"Paused, Combo",
combo10,combo10,CSTE MEESHO,Inactive,"Paused, Combo",
combo11,combo11,CSTE MEESHO,Inactive,"Paused, Combo",
combo112,combo112,CSTE MEESHO,Inactive,"Paused, Combo",
combo12,combo12,CSTE MEESHO,Inactive,"Paused, Combo",
combo120,combo120,CSTE MEESHO,Inactive,"Paused, Combo",
combo13,combo13,CSTE MEESHO,Inactive,"Paused, Combo",
combo131,combo131,CSTE MEESHO,Inactive,"Paused, Combo",
combo132,combo132,CSTE MEESHO,Inactive,"Paused, Combo",
combo14,combo14,CSTE MEESHO,Inactive,"Paused, Combo",
combo144,combo144,CSTE MEESHO,Inactive,"Paused, Combo",
combo15,combo15,CSTE MEESHO,Inactive,"Paused, Combo",
combo151,combo151,CSTE MEESHO,Inactive,"Paused, Combo",
combo16,combo16,CSTE MEESHO,Inactive,"Paused, Combo",
combo161,combo161,CSTE MEESHO,Inactive,"Paused, Combo",
combo2,combo2,CSTE MEESHO,Inactive,"Paused, Combo",
combo3,combo3,CSTE MEESHO,Inactive,"Paused, Combo",
combo4,combo4,CSTE MEESHO,Inactive,"Paused, Combo",
combo5,combo5,CSTE MEESHO,Inactive,"Paused, Combo",
combo6,combo6,CSTE MEESHO,Inactive,"Paused, Combo",
COMBO7,COMBO7,CSTE MEESHO,Inactive,"Paused, Combo",
combo8,combo8,CSTE MEESHO,Inactive,"Paused, Combo",
combo9,combo9,CSTE MEESHO,Inactive,"Paused, Combo",
Combooff,Combooff,Rudrav Meesho,Inactive,"Paused, Combo",
ST-chimmi bts-yellow-FBA,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Inactive,Deleted,
W8-M5MO-3VU8,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Inactive,Deleted,
BTS_softtoy_Chimmy,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Inactive,Deleted,
MG-N7SY-ZZ6A,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Active,Active Listing,#REF!
ST-Chimmy bts-yellow,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE AMAZON,Active,Active Listing,#REF!
BTS_CHIMMY,CSTE_0001_ST_Bts_Pillow_Chimmy,GL FK,Active,Active Listing,#REF!
chimmy_pillow_1,CSTE_0001_ST_Bts_Pillow_Chimmy,GL FK,Active,Active Listing,#REF!
Chimmy_yellow,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE FK,Active,Active Listing,#REF!
FBA_yellow_dog,CSTE_0001_ST_Bts_Pillow_Chimmy,CSTE FK,Active,Active Listing,#REF!
32052087,CSTE_0001_ST_Bts_Pillow_Chimmy,Rudrav Meesho,In Progress,,
BTS_CHIMMY,CSTE_0001_ST_Bts_Pillow_Chimmy,Rudrav Meesho,In Progress,,
bts_chimmy_1,CSTE_0001_ST_Bts_Pillow_Chimmy,Rudrav Meesho,In Progress,,
BTS-mang-tata,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Inactive,Deleted,
Pillows (Tata)-fba,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Inactive,Deleted,
ST-BTS-tata-van-chimmy-cooky-FBA,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Inactive,Deleted,
D1-Q4TX-Q99T,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Active,Active Listing,#REF!
Z9-K268-LCBG,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Active,Active Listing,#REF!
ST-TATA- bts-red,CSTE_0002_ST_Bts_Pillow_Tata,CSTE AMAZON,Active,Active Listing,#REF!
Tata_pillow_map,CSTE_0002_ST_Bts_Pillow_Tata,GL FK,Active,Active Listing,#REF!
BTS_TATA,CSTE_0002_ST_Bts_Pillow_Tata,GL FK,Active,Active Listing,#REF!
tatapillow_map,CSTE_0002_ST_Bts_Pillow_Tata,CSTE FK,Active,Active Listing,#REF!
Tata-Pillow-Soft-1,CSTE_0002_ST_Bts_Pillow_Tata,CSTE FK,Active,Active Listing,#REF!
FBA_pillow red _heart,CSTE_0002_ST_Bts_Pillow_Tata,CSTE FK,Active,Active Listing,#REF!
tata_pillow_1,CSTE_0002_ST_Bts_Pillow_Tata,GL FK,Active,Active Listing,#REF!
BTS_TATA,CSTE_0002_ST_Bts_Pillow_Tata,Rudrav Meesho,In Progress,,
bts_tata_1,CSTE_0002_ST_Bts_Pillow_Tata,Rudrav Meesho,In Progress,,
g1Mr4PXp,CSTE_0002_ST_Bts_Pillow_Tata,CSTE MEESHO,In Progress,,
Throw Pillows (Koya)-fba,CSTE_0003_ST_Bts_Pillow_Koya,CSTE AMAZON,Inactive,Deleted,
ST-Koya-bts-blue_FBA,CSTE_0003_ST_Bts_Pillow_Koya,CSTE AMAZON,Active,Active Listing,#REF!
Soft Toys_Koya-FBA,CSTE_0003_ST_Bts_Pillow_Koya,CSTE AMAZON,Active,Active Listing,#REF!
BTS_KOYA,CSTE_0003_ST_Bts_Pillow_Koya,GL FK,Active,Active Listing,#REF!
koya_pillow_1,CSTE_0003_ST_Bts_Pillow_Koya,GL FK,Active,Active Listing,#REF!
fusked bts soft toy- koya,CSTE_0003_ST_Bts_Pillow_Koya,CSTE FK,Active,Active Listing,#REF!
32546542,CSTE_0003_ST_Bts_Pillow_Koya,Rudrav Meesho,In Progress,,
BTS_KOYA,CSTE_0003_ST_Bts_Pillow_Koya,Rudrav Meesho,In Progress,,
BTS-Mang-cooky,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,
BTS-mang-koya,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,
BTS-mang-shooky,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,
Bts_Pillow_Mang1_fba,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,
Bts_PillowCombo_Mang_fba,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Inactive,Deleted,
ST-bts-throw-pillow-mang_FBA,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Active,Active Listing,#REF!
Bts_Pillow_Mang2_fba,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Active,Active Listing,#REF!
ST_Mang_Bts_Blue,CSTE_0004_ST_Bts_Pillow_Mang,CSTE AMAZON,Active,Active Listing,#REF!
BTS_MANG,CSTE_0004_ST_Bts_Pillow_Mang,GL FK,Active,Active Listing,#REF!
mang_pillow_1,CSTE_0004_ST_Bts_Pillow_Mang,GL FK,Active,Active Listing,#REF!
Bts_Softtoy_Mang2,CSTE_0004_ST_Bts_Pillow_Mang,CSTE FK,Active,Active Listing,#REF!
FUSKED-BTS SOFT TOY PILLOW-MANG,CSTE_0004_ST_Bts_Pillow_Mang,CSTE FK,Active,Active Listing,#REF!
newmangsofttoys,CSTE_0004_ST_Bts_Pillow_Mang,CSTE MEESHO,Active,,#REF!
BTS_MANG,CSTE_0004_ST_Bts_Pillow_Mang,Rudrav Meesho,In Progress,,
bts_mang_1,CSTE_0004_ST_Bts_Pillow_Mang,Rudrav Meesho,In Progress,,
MANG_PILLOW,CSTE_0004_ST_Bts_Pillow_Mang,Rudrav Meesho,In Progress,,
Throw Pillows (Shooky)-fba,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Inactive,Deleted,
EM-6RRU-X5YL,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,#REF!
WO-PO6F-4V1U,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,#REF!
ST-Shooky- bts-brown-FBA,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,#REF!
ST-Shooky- bts-brown,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE AMAZON,Active,Active Listing,#REF!
BTS_SHOOKY,CSTE_0005_ST_Bts_Pillow_Shooky,GL FK,Active,Active Listing,#REF!
shooky_pillow_1,CSTE_0005_ST_Bts_Pillow_Shooky,GL FK,Active,Active Listing,#REF!
FBA_pillow _ brown,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE FK,Active,Active Listing,#REF!
fk-BTS K POP SOFT PILLOW SHOOKY BROWN 14 INCH,CSTE_0005_ST_Bts_Pillow_Shooky,CSTE FK,Active,Active Listing,#REF!
bts_shooky_1,CSTE_0005_ST_Bts_Pillow_Shooky,Rudrav Meesho,In Progress,,
SHOOKY_PILLOW,CSTE_0005_ST_Bts_Pillow_Shooky,Rudrav Meesho,In Progress,,
ST-Van- bts-white grey,CSTE_0006_ST_Bts_Pillow_Van,CSTE AMAZON,Inactive,Deleted,
D4-SWQE-BI76,CSTE_0006_ST_Bts_Pillow_Van,CSTE AMAZON,Active,Active Listing,#REF!
ST-Van- bts-white grey-FBA,CSTE_0006_ST_Bts_Pillow_Van,CSTE AMAZON,Active,Active Listing,#REF!
ST_Van_Bts_Gey,CSTE_0006_ST_Bts_Pillow_Van,CSTE AMAZON,Active,Active Listing,#REF!
ST-Van- bts-white grey_FBA,CSTE_0006_ST_Bts_Pillow_Van,CSTE AMAZON,Active,Active Listing,#REF!
