Product Name,msku,Opening Stock,Buffer Stock,TLCQ,BLR7,BLR8,BOM5,BOM7,CCU1,CCX1,DEL4,DEL5,DEX3,PNQ2,PNQ3,SDED,SDEE,XHJ9,last_updated
Multi color Cloth watch,CSTE_O0319_OT_Clotheswatch_Multicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Black Square Watch,CSTE_O0320_OT_Square Watch_Black,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Grey Square watches,CSTE_O0321_OT_Square watches_Grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Puppy Cream color,CSTE_O0322_OT_Puppy_Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Brown and White cat,CSTE_O0323_OT_Cat_Brownwhite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
White Doll,CSTE_O0324_OT_Doll_White,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Pikachu,CSTE_O0325_OT_Pikachu_,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Raichu blue,CSTE_O0326_OT_Raichu_Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Fur Penguin,CSTE_O0327_OT_FurPenguin_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Bird Pillow Grey,CSTE_O0328_OT_BirdPillow_Grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Ghost White,CSTE_O0329_OT_Ghost_White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Ghost black,CSTE_O0330_OT_Ghost_Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Green soft toy,CSTE_O0331_OT_Green soft toy_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Big head cat Yellow,CSTE_O0332_OT_Bighead_Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Small head cat yellow,CSTE_O0333_OT_SmallHead_Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Chimmy Pencil Pouch,CSTE_O0334_OT_ChimmyPencilPouch_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Pepa Pig Family set,CSTE_O0335_OT_PepapigFamily_,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Big hand pink black,CSTE_O0336_OT_BigHand_blackpink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Tea Pad,CSTE_O0337_OT_Teapad_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Car Toons Pencil set,CSTE_O0338_OT_Cartoons_pencil_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Color pencil set,CSTE_O0339_OT_ColorPencil_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Unicorn Spoon Set,CSTE_O0340_OT_Unicornspoonset_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
USB Transparent Lamp,CSTE_O0341_OT_USBTransparentlamp_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Artificial Tree,CSTE_O0342_OT_ArtificialTree_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Microscope,CSTE_O0343_OT_Microscope_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cap Black,CSTE_O0344_OT_Cap_Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cap Grey,CSTE_O0345_OT_Cap_Grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Vaporiser,CSTE_O0346_OT_Vaporiser_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Van pencil pouch,CSTE_O0347_OT_VanPencilPouch_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Tata Pencil Pouch,CSTE_O0348_OT_TataPencilPouch_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cooky Pencil Pouch,CSTE_O0349_OT_CookyPencilPouch_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Koya Pencil Pouch ,CSTE_O0350_OT_KoyaPencilPouch_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Bts Rubber Cooky Key Chain,CSTE_O0351_OT_BtsCookyKeychainRubber_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Bts Rubber koya Key Chain,CSTE_O0352_OT_BtsKoyaKeychainRubber_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Square Watches Combo Black Pink,CSTE_O0353_OT_SquareWatchesCombo_BlackPink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
 LeatherBelt Black,CSTE_O0354_OT_ LeatherBelt_Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
GlowStick Glasses,CSTE_O0355_OT_GlowStick_Glasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
WaterSensor Diya,CSTE_O0356_OT_WaterSensor_Diya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
 BTS Pillow Cover,CSTE_O0357_OT_Pillow_Cover_BTS,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
IronMan Bobblehead,CSTE_O0358_OT_IronMan_Bobblehead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
CaptainAmerica Booblehead,CSTE_O0359_OT_CaptainAmerica _Bobblehead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HarryPotter Pocket_Watch,CSTE_O0360_OT_HarryPotter_Pocket_Watch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HarryPotter Stickers,CSTE_O0361_OT_HarryPotter_Stickers,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HarryPotter Scarf,CSTE_O0362_OT_HarryPotter_Scarf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Harry Potter Logo 3d Lamp,CSTE_O0363_OT_HarryPotter_Logo_3d_Lamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Harry potter Snitch Ball 3d lamp,CSTE_O0364_OT_HarryPotter_SnitchBall_3d_Lamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Happy Birthday 3d Lamp,CSTE_O0365_OT_HappyBirthday_3d_Lamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
